,,,,,,,,,,,,,Elm Avenue (Avenue M),,,732414,820941,1086576,1318801,1685909,1941403,2133046,2345905,2460078,2650413,,,9,Brighton Beach Line and Fifth Avenue-Bay Ridge Line station ridership data across multiple years
,,,,,,,,,,,,,Kings Highway,,,1832754,2562503,3106075,3661000,4564483,4532888,4875332,5178903,5829210,5786898,,,9,Brighton Beach Line and Fifth Avenue-Bay Ridge Line station ridership data across multiple years
,,,,,,,,,,,,,Avenue U,,,613322,720420,902757,1121256,1695068,2285390,2955618,3408825,3873887,4243727,,,9,Brighton Beach Line and Fifth Avenue-Bay Ridge Line station ridership data across multiple years
,,,,,,,,,,,,,Neck Road,,,226776,314646,434664,809888,884081,696557,822179,1009258,1125840,1158296,,,9,Brighton Beach Line and Fifth Avenue-Bay Ridge Line station ridership data across multiple years
,,,,,,,,,,,,,Sheepshead Bay,,,1839372,2347338,2695688,3088243,3894445,4483655,3157196,3761986,4278844,3963840,,,9,Brighton Beach Line and Fifth Avenue-Bay Ridge Line station ridership data across multiple years
,,,,,,,,,,,,,Sheepshead Bay Speedway (a),,,71133,,,,,,,,,,,,9,Brighton Beach Line and Fifth Avenue-Bay Ridge Line station ridership data across multiple years
,,,,,,,,,,,,,Brighton Beach,,,,740930,1638735,5002830,3116554,3434790,2675425,3038894,3588230,4365031,,,9,Brighton Beach Line and Fifth Avenue-Bay Ridge Line station ridership data across multiple years
,,,,,,,,,,,,,Ocean Parkway,,,1136910,888765,1304796,1577343,1845700,1640945,1577446,1849106,1630439,1783847,,,9,Brighton Beach Line and Fifth Avenue-Bay Ridge Line station ridership data across multiple years
,,,,,,,,,,,,,FIFTH AVENUE-BAY RIDGE LINE,,,10454802,11606565,11617980,18025945,11740196,11632566,11875106,11609674,11573618,11714028,,,9,Brighton Beach Line and Fifth Avenue-Bay Ridge Line station ridership data across multiple years
,,,,,,,,,,,,,Fulton Street,,,1018389,1343279,1407680,1496376,1560246,1397260,1537289,1605921,1505348,1832321,,,9,Brighton Beach Line and Fifth Avenue-Bay Ridge Line station ridership data across multiple years
,,,,,,,,,,,,,Atlantic Avenue,,,1320904,1575726,1513829,1581205,1991678,1635057,1681339,1776864,1777677,1815276,,,9,Brighton Beach Line and Fifth Avenue-Bay Ridge Line station ridership data across multiple years
,,,,,,,,,,,,,St. Marks Avenue,,,302940,453365,469856,487183,482418,496060,485758,486801,474447,471213,,,9,Brighton Beach Line and Fifth Avenue-Bay Ridge Line station ridership data across multiple years
,,,,,,,,,,,,,Union Street,,,637774,697082,785109,869767,951117,1001738,966152,976297,1058348,1009378,,,9,Brighton Beach Line and Fifth Avenue-Bay Ridge Line station ridership data across multiple years
,,,,,,,,,,,,,3d Street,,,804958,910588,961040,971120,956530,970562,903509,859055,821489,793860,,,9,Brighton Beach Line and Fifth Avenue-Bay Ridge Line station ridership data across multiple years
,,,,,,,,,,,,,9th Street,,,1276657,1365344,1328625,1410716,1386246,1344339,1309453,1319268,1333726,1458726,,,9,Brighton Beach Line and Fifth Avenue-Bay Ridge Line station ridership data across multiple years
,,,,,,,,,,,,,16th Street,,,882511,1052121,1006194,1188272,1148706,1084889,1015005,1036631,1003933,971000,,,9,Brighton Beach Line and Fifth Avenue-Bay Ridge Line station ridership data across multiple years
,,,,,,,,,,,,,20th Street,,,609650,697749,760781,785934,760775,721618,712348,725277,709829,715219,,,9,Brighton Beach Line and Fifth Avenue-Bay Ridge Line station ridership data across multiple years
,,,,,,,,,,,,,25th Street,,,306077,393874,348742,388506,356506,288618,258682,266463,270630,265486,,,9,Brighton Beach Line and Fifth Avenue-Bay Ridge Line station ridership data across multiple years
,,,,,,,,,,,,,36th Street,,,667655,724832,701229,754747,783409,708326,876509,695323,684335,679459,,,9,Brighton Beach Line and Fifth Avenue-Bay Ridge Line station ridership data across multiple years
,,,,,,,,,,,,,40th Street,,,446563,440946,411234,443031,394624,379756,376477,380892,367112,383154,,,9,Brighton Beach Line and Fifth Avenue-Bay Ridge Line station ridership data across multiple years
,,,,,,,,,,,,,45th Street,,,348072,373205,362909,385361,341737,336108,360388,311250,301784,302783,,,9,Brighton Beach Line and Fifth Avenue-Bay Ridge Line station ridership data across multiple years
,,,,,,,,,,,,,53d Street,,,592472,609876,507521,557065,534239,506769,479855,473032,449678,421159,,,9,Brighton Beach Line and Fifth Avenue-Bay Ridge Line station ridership data across multiple years
,,,,,,,,,,,,,58th Street,,,746024,612902,506769,541724,490499,492253,445882,414985,400201,399259,,,9,Brighton Beach Line and Fifth Avenue-Bay Ridge Line station ridership data across multiple years
,,,,,,,,,,,,,65th Street,,,844501,845403,824103,940403,806298,804499,887636,811698,839389,835551,,,9,Brighton Beach Line and Fifth Avenue-Bay Ridge Line station ridership data across multiple years
,,,,,,,,,,,,,SEA BEACH LINE,,,6625745,6761874,7928906,9043489,11070470,15300821,18608510,10658464,28204146,34075316,,,9,Brighton Beach Line and Fifth Avenue-Bay Ridge Line station ridership data across multiple years
,,,,,,,,,,,,,8th Avenue (also 7th Avenue),,,1176279,1227071,1327307,1435908,1490546,1830282,2131282,3140843,2623215,2671776,,,9,Brighton Beach Line and Fifth Avenue-Bay Ridge Line station ridership data across multiple years
,,,,,,,,,,,,,Ft. Hamilton Avenue (also 11th Avenue),,,1380243,1515403,1466075,1453903,1810819,2080532,2576491,3043715,3462962,3671776,,,9,Brighton Beach Line and Fifth Avenue-Bay Ridge Line station ridership data across multiple years
,,,,,,,,,,,,,New Utrecht Avenue (also 15th Avenue),,,851112,889476,933410,1003006,1065499,1084906,1187280,1311427,1362269,1890932,,,9,Brighton Beach Line and Fifth Avenue-Bay Ridge Line station ridership data across multiple years
,,,,,,,,,,,,,18th Avenue (also 17th Avenue),,,1107690,1121940,1195343,1504728,1724348,2115671,2783650,3120232,3746923,2746923,,,9,Brighton Beach Line and Fifth Avenue-Bay Ridge Line station ridership data across multiple years
,,,,,,,,,,,,,20th Avenue,,,706674,762041,970933,1249812,1676637,1944035,2128891,2349856,2359759,2420692,,,9,Brighton Beach Line and Fifth Avenue-Bay Ridge Line station ridership data across multiple years
,,,,,,,,,,,,,22d Avenue (also Avenue O),,,326442,205597,372100,480785,872326,1274018,2037381,2013760,3624841,4103884,,,9,Brighton Beach Line and Fifth Avenue-Bay Ridge Line station ridership data across multiple years
,,,,,,,,,,,,,86th Street (also Avenue P also R),,,649063,732421,838694,1035472,1233235,1534878,1953336,2238866,2359018,3239018,,,9,Brighton Beach Line and Fifth Avenue-Bay Ridge Line station ridership data across multiple years
,,,,,,,,,,,,,Avenue U (also Avenue T),,,424196,290024,431748,517407,670105,832704,1190536,1507811,2005472,2277589,,,9,Brighton Beach Line and Fifth Avenue-Bay Ridge Line station ridership data across multiple years
,,,,,,,,,,,,,86th Street,,,108786,60965,126317,139087,207180,316976,617940,,,,,,9,Brighton Beach Line and Fifth Avenue-Bay Ridge Line station ridership data across multiple years
,,,,,,,,,,,,,CONEY ISLAND TERMINALS,,,,12804689,15869347,11954890,14982393,16823626,10056745,16823881,16170014,17395474,,,9,Brighton Beach Line and Fifth Avenue-Bay Ridge Line station ridership data across multiple years
,,,,,,,,,,,,,Stillwell Avenue (West End),,,15207005,10124019,11545787,12223714,12455855,14370462,13536470,12270952,12145722,13111054,,,9,Brighton Beach Line and Fifth Avenue-Bay Ridge Line station ridership data across multiple years
,,,,,,,,,,,,,Norton's Point (from April 26),,,,,,,,,470838,308980,276461,2440914,,,9,Brighton Beach Line and Fifth Avenue-Bay Ridge Line station ridership data across multiple years
,,,,,,,,,,,,,West 8th Street (Culver),,,2382901,1992320,2322439,2684685,2476068,4455223,2049437,1915946,1747810,1843506,,,9,Brighton Beach Line and Fifth Avenue-Bay Ridge Line station ridership data across multiple years
,,,,,,,,,,,,,"Total, Company-owned Lines",,,190600953,196699966,212328608,226700813,241607341,251698289,265065922,265559230,270810058,269043040,,,9,Brighton Beach Line and Fifth Avenue-Bay Ridge Line station ridership data across multiple years
,,,,,,,,,,,,,Conductors' collections and miscellaneous,,,1499706,2618747,2968044,2741828,2770640,2796121,3103210,3162165,1008136,1075557,,,9,Brighton Beach Line and Fifth Avenue-Bay Ridge Line station ridership data across multiple years
,,,,,,,,,,,,,"Total, New York Rapid Transit Corp",,,376782635,404970640,444747229,480900870,537194829,591256029,621251881,656543693,669552744,690820232,,,9,Brighton Beach Line and Fifth Avenue-Bay Ridge Line station ridership data across multiple years
,94349408,108982945,119154398,135932685,150885171,162482343,177428078,183597891,191908939,,,77689073,,,,,,,,,,,,,,"Broadway Line, Manhattan",,9,"Recapitulation by Lines - Year Ended June 30, City-Owned Lines ridership 1920-1929"
,2539441,3180802,3708384,4422234,4786032,5054977,6442982,6657250,8049849,,,1761988,,,,,,,,,,,,,,anal Street-Broadway Station,,9,"Recapitulation by Lines - Year Ended June 30, City-Owned Lines ridership 1920-1929"
,52839629,24058870,35706114,42258403,7453607,8275574,9469275,9763609,9052164,,,38384060,,,,,,,,,,,,,,entre Street Loop,,9,"Recapitulation by Lines - Year Ended June 30, City-Owned Lines ridership 1920-1929"
,2297179,2534621,4343488,4179366,,,,,,,,,,,,,,,,,,,,,,entague Street Tunnel Conn,,9,"Recapitulation by Lines - Year Ended June 30, City-Owned Lines ridership 1920-1929"
,2082780,2055816,6977328,4163000,6659359,4931349,5664220,5592540,8803444,,,,,,,,,,,,,,,,,latbush Avenue Conn (Brighton Beach Line),,9,"Recapitulation by Lines - Year Ended June 30, City-Owned Lines ridership 1920-1929"
,62407180,49067286,82193641,57838316,58986375,61149612,63933210,64245188,64593418,,,48175972,,,,,,,,,,,,,,orth Avenue (Brooklyn Line),,9,"Recapitulation by Lines - Year Ended June 30, City-Owned Lines ridership 1920-1929"
,15140847,37958413,19213589,22390870,26080259,22924244,28866739,29495585,29820098,,,13442227,,,,,,,,,,,,,,irteenth Street-Eastern Line,,9,"Recapitulation by Lines - Year Ended June 30, City-Owned Lines ridership 1920-1929"
,3409900,7810130,8513285,9573461,10291549,10992003,11629257,12294921,12761907,,,,,,,,,,,,,,,,,New Utrecht Avenue Branch,,9,"Recapitulation by Lines - Year Ended June 30, City-Owned Lines ridership 1920-1929"
,1580138,2701494,2803794,2601534,5278968,3614808,4369357,5323421,7015693,,,6235640,,,,,,,,,,,,,,ilver Lines,,9,"Recapitulation by Lines - Year Ended June 30, City-Owned Lines ridership 1920-1929"
,,,1333055,1193087,8596423,7020373,7240271,7540779,7708269,,,,,,,,,,,,,,,,,apens Plans,,9,"Recapitulation by Lines - Year Ended June 30, City-Owned Lines ridership 1920-1929"
,,,1220557,6040731,8106483,6478194,9757625,11264671,12987026,,,,,,,,,,,,,,,,,toria Branch,,9,"Recapitulation by Lines - Year Ended June 30, City-Owned Lines ridership 1920-1929"
,,,,,,,,,,,,,,,,,,,,,,,,,,lushing Line,,9,"Recapitulation by Lines - Year Ended June 30, City-Owned Lines ridership 1920-1929"
,205651027,229450577,251458229,292816848,336761619,362182749,387822298,397734550,420710635,,,184591976,,,,,,,,,,,,,,"Total, City-owned Lines",,9,"Recapitulation by Lines - Year Ended June 30, City-Owned Lines ridership 1920-1929"
,16842830,16764056,15867004,14779006,14075081,14410631,14296316,13444983,12908628,,,18034009,,,,,,,,,,,,,,Brooklyn Bridge Stations,,9,"Recapitulation by Lines - Year Ended June 30, Company-Owned Lines ridership 1920-1929"
,85779264,88135440,40880697,44347237,46084405,46248625,47403705,47372093,47392958,,,86904507,,,,,,,,,,,,,,Fulton Street Line,,9,"Recapitulation by Lines - Year Ended June 30, Company-Owned Lines ridership 1920-1929"
,11606565,11617989,18025945,11740196,11632566,11875106,11609674,11573618,11714098,,,10434802,,,,,,,,,,,,,,Fifth Avenue-Bay Ridge Line,,9,"Recapitulation by Lines - Year Ended June 30, Company-Owned Lines ridership 1920-1929"
,22305672,22829244,23508012,40643312,30772030,51743350,53108285,53394086,81175437,,,26047513,,,,,,,,,,,,,,Lexington Avenue Line (Jamaica),,9,"Recapitulation by Lines - Year Ended June 30, Company-Owned Lines ridership 1920-1929"
,20464618,20953097,21907060,23255863,23976098,23558517,23798440,24526440,21253733,,,18210680,,,,,,,,,,,,,,Myrtle Avenue Line,,9,"Recapitulation by Lines - Year Ended June 30, Company-Owned Lines ridership 1920-1929"
,21774229,21844899,21620419,11620419,12533907,12442007,11955121,12981292,13281622,,,19261826,,,,,,,,,,,,,,Broadway (Brooklyn stations),,9,"Recapitulation by Lines - Year Ended June 30, Company-Owned Lines ridership 1920-1929"
,11233574,11620419,12105254,12533907,12442007,11855121,11855121,12288929,14234038,,,10046053,,,,,,,,,,,,,,Canarsie Line,,9,"Recapitulation by Lines - Year Ended June 30, Company-Owned Lines ridership 1920-1929"
,19378250,24299463,37353224,50949221,35255321,16608510,19635454,22204145,24073315,,,14771958,,,,,,,,,,,,,,Brighton Beach Line,,9,"Recapitulation by Lines - Year Ended June 30, Company-Owned Lines ridership 1920-1929"
,12116330,13868220,14908399,14932623,16825685,16050745,16523884,16170014,17395474,,,17479690,,,,,,,,,,,,,,Coney Island Terminals,,9,"Recapitulation by Lines - Year Ended June 30, Company-Owned Lines ridership 1920-1929"
,196699966,212328608,226700813,241007341,251698289,265065922,265559230,270810058,269043040,,,190690953,,,,,,,,,,,,,,"Total, Company-owned Lines",,9,"Recapitulation by Lines - Year Ended June 30, Company-Owned Lines ridership 1920-1929"
,,,,309496,282764,319087,142506,90451,90912,,,,,,,,,,,,,,,,,,Conductors' collections - Brighton Beach,9,"Conductors' collections by line and miscellaneous, Grand Total, and Recapitulation by Boroughs 1920-1929"
,,,,118167,111063,100609,172784,178208,186075,,,,,,,,,,,,,,,,,,Conductors' collections - Fifth Av-Bay Ridge,9,"Conductors' collections by line and miscellaneous, Grand Total, and Recapitulation by Boroughs 1920-1929"
,,,,,,,,,,,,,,,,,,,,,,,,,,,Conductors' collections - Lexington Avenue Line,9,"Conductors' collections by line and miscellaneous, Grand Total, and Recapitulation by Boroughs 1920-1929"
,,,,1475545,1864103,2123295,3378426,225923,310185,,,,,,,,,,,,,,,,,,Conductors' collections - Canarsie Line,9,"Conductors' collections by line and miscellaneous, Grand Total, and Recapitulation by Boroughs 1920-1929"
,,,,,6039,,9073,,,,,,,,,,,,,,,,,,,,Conductors' collections - Brighton Beach Line,9,"Conductors' collections by line and miscellaneous, Grand Total, and Recapitulation by Boroughs 1920-1929"
,,,,2081839,2437099,2621190,3695461,623039,600974,,,,,,,,,,,,,,,,,,Total Conductors' collections,9,"Conductors' collections by line and miscellaneous, Grand Total, and Recapitulation by Boroughs 1920-1929"
,,,,688801,359022,463020,466714,385097,474583,,,,,,,,,,,,,,,,,,Miscellaneous,9,"Conductors' collections by line and miscellaneous, Grand Total, and Recapitulation by Boroughs 1920-1929"
,2618747,2968044,2741828,2770640,2796121,3103210,3162165,1008136,1075557,,,1499706,,,,,,,,,,,,,,,"Total, Conductors' collections and miscellaneous",9,"Conductors' collections by line and miscellaneous, Grand Total, and Recapitulation by Boroughs 1920-1929"
,404970640,444747229,480900870,537194829,591256029,621251881,656543693,669552744,690820232,,,376782635,,,,,,,,,,,,,,,"Grand Total, New York Rapid Transit Corporation",9,"Conductors' collections by line and miscellaneous, Grand Total, and Recapitulation by Boroughs 1920-1929"
,144827909,160131088,172455611,193674549,216354543,228684429,244883956,249728721,255858301,,,124484864,,Manhattan,,,,,,,,,,,,,,9,Recapitulation by Boroughs 1920-1929
,233906466,253327969,272199312,295043172,319002502,332140549,348701484,356491764,362902603,,,221441631,,Brooklyn,,,,,,,,,,,,,,9,Recapitulation by Boroughs 1920-1929
,23917428,28320128,33504119,45706468,53103863,57323693,59752088,61408172,70003771,,,19408634,,Queens,,,,,,,,,,,,,,9,Recapitulation by Boroughs 1920-1929
,2618747,2968044,2741828,2770640,2796121,3103210,3162165,1008136,1075557,,,1499706,,Unallocated,,,,,,,,,,,,,,9,Recapitulation by Boroughs 1920-1929
,404970640,444747229,480900870,537194829,591256029,621251881,656543693,669552744,690820232,,,376782635,,Total,,,,,,,,,,,,,,9,Recapitulation by Boroughs 1920-1929
,199248021,221840447,240890754,273018401,297817143,814465768,856627806,845817855,847118865,,ADWAY-FOURTH AVE. LINE,179350838,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (upper table)"
,1580138,2701494,2893764,2605537,8125001,8614880,8860303,153697801,101908939,,Jurens Plaza (from 8/1/20),,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (upper table)"
,94849408,103682515,119141568,135060483,160891171,162482458,177129078,5178761,5719550,,"CADWAY LINE, MANHATTAN",77689073,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (upper table)"
,1321655,1424761,2576514,3207242,3724887,4121832,4604380,5133467,5610822,,exington Avenue (from 8/1/18),1059816,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (upper table)"
,1129076,1207671,1380220,1620400,2150040,2204984,2627584,7067815,8284416,,41th Avenue (8/1/18),854300,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (upper table)"
,3120006,3714348,4279130,5017466,6034626,6327584,7178821,10616738,11665510,,77th Street (from 7/10/10),2658109,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (upper table)"
,3604506,4234225,4760580,5842522,6846572,8145823,9672102,24630250,28938770,,79th Street (from 7/10/19),2957431,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (upper table)"
,14674573,17070500,19157072,22793088,31083283,34122794,36584876,27654833,29258274,,Times Square,12318014,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (upper table)"
,12566574,14723077,15434286,20393662,21853851,8621193,6033568,6372721,6425157,,14th Street,11067119,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (upper table)"
,4132992,4611888,4892007,5393324,5766039,6082112,11024968,6227896,6523078,,34th Street,4213364,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (upper table)"
,7465097,8216483,8334889,9306908,10826951,10723065,12082956,22891015,24411824,,23rd Street,7263364,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (upper table)"
,13605315,15327993,15634576,18195203,19690245,7831529,8768043,5714193,6126558,,Union Square,11679353,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (upper table)"
,5155841,5774654,5985654,6823614,6848609,6256284,4768075,5715079,5805858,,8th Street,5085365,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (upper table)"
,3780455,4043305,4514152,5791796,6477674,4790900,8100167,5104162,4475890,,Prince Street,3876850,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (upper table)"
,2206250,2475986,3758820,4095170,4495478,5280166,5628840,6165460,6329994,,Canal Street,2012968,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (upper table)"
,5794802,6297516,9461251,6953278,,14641098,12632040,15995353,16165072,,City Hall,2970240,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (upper table)"
,4399947,10492284,11453942,14076395,15891455,4611925,8025233,8207241,6932268,,Cortlandt Street,4006471,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (upper table)"
,3032270,3440176,3773465,3565176,4340347,4814799,6392605,5526425,3909094,,Rector Street,1827295,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (upper table)"
,3385440,4323376,4538453,5257492,5861498,4054977,4448988,8067850,8040849,,Whitehall Street,1267019,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (upper table)"
,2839441,3703528,3708384,4483834,4786058,48085753,49850047,47881792,54227176,,NAL STREET-BROADWAY STATION,2194961,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (upper table)"
,85830619,84068870,86706114,107475308,83441079,62053447,40560447,14074169,13121727,,NTRE STREET LOOP,86584080,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (upper table)"
,10046165,9049469,11716261,12937619,14703537,5113141,8367407,7898129,4624701,,Lasex Street,6240620,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (upper table)"
,2355055,6778859,7071432,7662965,8107035,3100853,2790337,3243297,3695125,,Bleeker,1660626,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (upper table)"
,2829276,2015054,3049828,2498960,3192338,14963914,14985463,15086205,13411296,,Canal Street,3298518,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (upper table)"
,2754989,13238249,13808395,15218823,15330469,8276374,9469276,9763809,9852184,,Chambers Street,19231853,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (upper table)"
,2897179,9534821,4343488,5103616,2003652,2518005,2061836,2383189,3350905,,NTAGUE STREET TUNNEL CONN.,,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (upper table)"
,,,,,,4931249,6064220,5499440,5435747,,Court Street (from 8/1/20),,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (upper table)"
,3088199,3058316,5677929,4165090,4606850,9488245,14832569,,4685747,,Lawrence Avenue Conn (b),,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (upper table)"
,1057298,1564228,4750452,3490432,6103601,,,,,,ATBUSH AVENUE CONN (b),,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (upper table)"
,1490258,1461590,1926876,1790656,1942767,1982813,2325659,2133254,2114677,,Atlantic Avenue (from 8/1/20),,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (upper table)"
,,,,,,,3255810,1846145,1825418,,Nevins Street (from 8/1/20),,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (upper table)"
,48407180,49067236,68105641,67838316,88286676,81142616,65487810,2922583,2890213,,URTE AVENUE LINE (BROOKLYN),48178978,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (upper table)"
,2627891,2330439,2614380,8354733,,12172664,12301588,12316795,12912202,,Myrtle Avenue (Gold Street),2527447,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (upper table)"
,8626448,9552077,10681184,12141732,11971464,9504507,8575622,8570528,9094474,,Its Kalb Avenue,8899576,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (upper table)"
,8610193,7513656,7555989,8402765,,2115866,2322015,2292408,2301233,,Pacific Street,10937562,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (upper table)"
,3953306,4286890,5186159,5218013,3195060,3902021,3907700,3917388,3637605,,30th Street,3026380,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (upper table)"
,4498729,3631029,3700202,3893723,3890913,3541419,5364170,3600313,3793018,,9th Street,3347926,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (upper table)"
,2439537,2477896,2512551,,,1138129,1201119,1180825,1220631,,Prospect Avenue,2265147,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (upper table)"
,2099826,2384212,2487440,1092181,1109762,4274377,4395298,4395561,4635438,,25th Street,1780133,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (upper table)"
,3781693,3600024,3857256,4158842,4201779,4274377,3285299,3894417,3148270,,38th Street,3500471,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (upper table)"
,3072914,3153010,2938379,3320408,3838224,3501199,3620901,3445324,3997762,,45th Street,2707403,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (upper table)"
,3057824,2937373,3043319,3381114,3424790,4681780,4805989,5035566,4870489,,53rd Street,2516529,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (upper table)"
,4235579,4116971,4284777,4562107,4653564,4236846,4470232,4604758,4811422,,59th Street,4370212,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (upper table)"
,3214888,3213462,3218479,3536410,3821082,3330095,3483632,3354025,3549399,,Bay Ridge Avenue,2996543,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (upper table)"
,2032247,2038853,2300390,3179303,,3767669,6407439,6530470,6900509,,77th Street,1805780,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (upper table)"
,,,,,,938445,1589286,1910666,1380426,,95th Street (from 10/31/25),,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (upper table)"
,2172468,2250016,2523100,2918950,3192298,3330095,2483632,,,,2170610,2170610,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (upper table)"
,,,,,,,,,,,EW UTRECHT AVENUE,,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (upper table)"
,1286191,1345898,1577629,2029328,1755292,,4205086,4323164,4324884,,9th Avenue,1188182,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (upper table)"
,1203541,1563778,2570532,2143009,3727007,9973851,3284634,3439028,3437039,,Fort Hamilton Parkway,362568,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (upper table)"
,1769874,2105063,2310512,2515703,2871742,3121129,3566132,2570190,2466640,,50th Street,1516797,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (upper table)"
,1540702,1710880,1819802,2361440,2351449,2351449,,,,,55th Street,1316751,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (upper table)"
,1023490,403820,415774,439437,433880,443729,455944,451512,473004,,62nd Street (e),923086,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (upper table)"
,1617560,1698694,1762742,2039393,,3810506,4091473,4207940,4211250,,71st Street,1434376,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (upper table)"
,1257294,1649016,1881256,2289506,2456436,,,,,,77th Street,1108619,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (upper table)"
,2060498,2169709,2201612,2327143,2315435,2318729,2354128,2519062,2669037,,18th Avenue,1745908,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (lower table - additional lines)"
,1293410,1668214,1813242,8430457,2465399,2771417,3042185,3194020,3772822,,20th Avenue,1075328,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (lower table - additional lines)"
,1421055,,,,,372631,763274,,,,Bay Parkway,1101449,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (lower table - additional lines)"
,120632,149613,363540,468558,673099,375251,,753697,720631,,25th Avenue,208747,,,,,,,,,,,,,,,,10,"City-owned lines ridership by station, year ended June 30, 1920-1929 (lower table - additional lines)"
