Line Type,Number of Fare Passengers Carried During Fiscal Year 1939,Increase or (D) Decrease in Traffic During 1939 - Number of Passengers,Increase or (D) Decrease in Traffic During 1939 - Per Cent,Month,Year,Station,Fiscal Year 1939,Fiscal Year 1938,Increase or (D) Decrease Number,Increase or (D) Decrease Per Cent,STATIONS,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,Line,Borough,LINE,BOROUGH,_page,_page_desc
,,,,,,,,,,,Hanover Square,3779851,2671808,3225240,2089497,1924641,1940114,1000844,1098893,1924629,1757483,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Elevated Division - Second Avenue Line and Third Avenue Line"
,,,,,,,,,,,Fulton Street,1035453,1679537,1402918,,418848,414184,412008,406113,875990,384491,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Elevated Division - Second Avenue Line and Third Avenue Line"
,,,,,,,,,,,Franklin Square,1538946,1492197,1412918,469976,418848,414184,412008,406113,875990,384491,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Elevated Division - Second Avenue Line and Third Avenue Line"
,,,,,,,,,,,City Hall,8266519,7654827,6575858,5542197,4801836,4450678,4285406,4084504,3880054,4454824,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Elevated Division - Second Avenue Line and Third Avenue Line"
,,,,,,,,,,,Chatham Square,2192685,2158846,1950490,1728150,1533844,1448578,1415844,1342698,1272493,1224928,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Elevated Division - Second Avenue Line and Third Avenue Line"
,,,,,,,,,,,Canal Street,2162751,2103751,1712861,1822355,1682648,1643282,1590204,1502441,1416661,1357497,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Elevated Division - Second Avenue Line and Third Avenue Line"
,,,,,,,,,,,Grand Street,5192774,4535983,3961565,3353848,2028936,2945038,2856338,2655103,2366065,2104188,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Elevated Division - Second Avenue Line and Third Avenue Line"
,,,,,,,,,,,Houston Street,2410609,2468847,2358488,2246696,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Elevated Division - Second Avenue Line and Third Avenue Line"
,,,,,,,,,,,9th Street,3167902,2831868,2603690,2243896,2039125,1955684,1963285,1929265,1820440,1740228,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Elevated Division - Second Avenue Line and Third Avenue Line"
,,,,,,,,,,,14th Street,4605153,4202493,3873254,3220956,3064960,2995428,3079563,2902513,3065141,3517018,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Elevated Division - Second Avenue Line and Third Avenue Line"
,,,,,,,,,,,18th Street,1648161,1846192,1638442,1422818,1222636,1157386,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Elevated Division - Second Avenue Line and Third Avenue Line"
,,,,,,,,,,,21st Street,2455882,2248284,1942879,2328809,2892975,2002897,3084031,2077661,2065065,2888808,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Elevated Division - Second Avenue Line and Third Avenue Line"
,,,,,,,,,,,23rd Street,2700003,3447890,3085603,1658918,1509086,1466897,1515630,1514181,1444685,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Elevated Division - Second Avenue Line and Third Avenue Line"
,,,,,,,,,,,8TH AVENUE LINE-Concluded:,,,,,,,,,,,,,,,6,"Interborough Rapid Transit - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Elevated Division Continued - upper portion showing 8th Avenue Line concluded, 6th Avenue Line Gross Total, 6th Avenue Line Net, and 6th Avenue Line stations"
,,,,,,,,,,,24th Street,3207607,3060670,2638117,3177335,1966678,1945113,1962872,1973104,1816566,1689838,,,,,6,"Interborough Rapid Transit - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Elevated Division Continued - upper portion showing 8th Avenue Line concluded, 6th Avenue Line Gross Total, 6th Avenue Line Net, and 6th Avenue Line stations"
,,,,,,,,,,,24th Street Ferry,43030,1428,,,,,,,,,,,,,6,"Interborough Rapid Transit - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Elevated Division Continued - upper portion showing 8th Avenue Line concluded, 6th Avenue Line Gross Total, 6th Avenue Line Net, and 6th Avenue Line stations"
,,,,,,,,,,,42d Street,6820778,6505374,5005778,4963861,4650472,4519562,4870851,4506065,4227742,3943906,,,,,6,"Interborough Rapid Transit - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Elevated Division Continued - upper portion showing 8th Avenue Line concluded, 6th Avenue Line Gross Total, 6th Avenue Line Net, and 6th Avenue Line stations"
,,,,,,,,,,,47th Street,1736898,1624341,1363718,1217046,1090920,1158645,1274715,1318332,1373823,1603909,,,,,6,"Interborough Rapid Transit - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Elevated Division Continued - upper portion showing 8th Avenue Line concluded, 6th Avenue Line Gross Total, 6th Avenue Line Net, and 6th Avenue Line stations"
,,,,,,,,,,,47th Street,1706893,1644693,1294890,1463098,3228622,2164106,2162616,2087370,2071503,998383,,,,,6,"Interborough Rapid Transit - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Elevated Division Continued - upper portion showing 8th Avenue Line concluded, 6th Avenue Line Gross Total, 6th Avenue Line Net, and 6th Avenue Line stations"
,,,,,,,,,,,34th Street,4570676,4354917,3649772,3540463,3250620,3229850,3284018,3053819,3253628,3253628,,,,,6,"Interborough Rapid Transit - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Elevated Division Continued - upper portion showing 8th Avenue Line concluded, 6th Avenue Line Gross Total, 6th Avenue Line Net, and 6th Avenue Line stations"
,,,,,,,,,,,39th Street,2031820,1872558,1685837,1487082,1547007,1490740,1501861,1468636,1134838,1063835,,,,,6,"Interborough Rapid Transit - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Elevated Division Continued - upper portion showing 8th Avenue Line concluded, 6th Avenue Line Gross Total, 6th Avenue Line Net, and 6th Avenue Line stations"
,,,,,,,,,,,50th Street,2370888,2232243,1958366,1821634,1194700,1194428,1153982,,,,,,,,6,"Interborough Rapid Transit - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Elevated Division Continued - upper portion showing 8th Avenue Line concluded, 6th Avenue Line Gross Total, 6th Avenue Line Net, and 6th Avenue Line stations"
,,,,,,,,,,,54th Street,1730879,1685282,1508663,1408826,1279763,787214,750595,702704,664180,694885,,,,,6,"Interborough Rapid Transit - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Elevated Division Continued - upper portion showing 8th Avenue Line concluded, 6th Avenue Line Gross Total, 6th Avenue Line Net, and 6th Avenue Line stations"
,,,,,,,,,,,59th Street,1444263,1318472,1199922,2170754,1955883,1850220,1828543,1636775,1524881,1469364,,,,,6,"Interborough Rapid Transit - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Elevated Division Continued - upper portion showing 8th Avenue Line concluded, 6th Avenue Line Gross Total, 6th Avenue Line Net, and 6th Avenue Line stations"
,,,,,,,,,,,72d Street,3217064,3148196,2766488,2668877,1625821,1578894,2083744,1541917,1473841,1460460,,,,,6,"Interborough Rapid Transit - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Elevated Division Continued - upper portion showing 8th Avenue Line concluded, 6th Avenue Line Gross Total, 6th Avenue Line Net, and 6th Avenue Line stations"
,,,,,,,,,,,106th Street,3014891,2693178,2263777,1855947,1597660,1493746,1492631,,,804658,,,,,6,"Interborough Rapid Transit - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Elevated Division Continued - upper portion showing 8th Avenue Line concluded, 6th Avenue Line Gross Total, 6th Avenue Line Net, and 6th Avenue Line stations"
,,,,,,,,,,,116th Street,2990631,2720274,2488114,884066,864851,832051,836694,3422304,1327239,600593,,,,,6,"Interborough Rapid Transit - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Elevated Division Continued - upper portion showing 8th Avenue Line concluded, 6th Avenue Line Gross Total, 6th Avenue Line Net, and 6th Avenue Line stations"
,,,,,,,,,,,123d Street,834888,880044,649772,2018473,3840456,2843654,2340364,1174720,2947347,1430753,,,,,6,"Interborough Rapid Transit - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Elevated Division Continued - upper portion showing 8th Avenue Line concluded, 6th Avenue Line Gross Total, 6th Avenue Line Net, and 6th Avenue Line stations"
,,,,,,,,,,,129th Street,3739385,3477860,3178889,1293568,1164490,1114440,1144026,2663711,,987761,,,,,6,"Interborough Rapid Transit - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Elevated Division Continued - upper portion showing 8th Avenue Line concluded, 6th Avenue Line Gross Total, 6th Avenue Line Net, and 6th Avenue Line stations"
,,,,,,,,,,,133d Street,1926304,1800989,1561014,1065348,984651,957450,918453,2663711,3045465,2050225,,,,,6,"Interborough Rapid Transit - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Elevated Division Continued - upper portion showing 8th Avenue Line concluded, 6th Avenue Line Gross Total, 6th Avenue Line Net, and 6th Avenue Line stations"
,,,,,,,,,,,135th Street,1829659,1660886,1346271,2181455,1982753,1905328,1984614,1820479,1429758,1408693,,,,,6,"Interborough Rapid Transit - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Elevated Division Continued - upper portion showing 8th Avenue Line concluded, 6th Avenue Line Gross Total, 6th Avenue Line Net, and 6th Avenue Line stations"
,,,,,,,,,,,143d Street,3007660,2824622,2546070,2333618,2183606,1454148,1502837,2561225,1427337,2073471,,,,,6,"Interborough Rapid Transit - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Elevated Division Continued - upper portion showing 8th Avenue Line concluded, 6th Avenue Line Gross Total, 6th Avenue Line Net, and 6th Avenue Line stations"
,,,,,,,,,,,149th Street,2086291,2009031,1829919,2623891,3223144,2193880,2260779,2416972,3265563,1922849,,,,,6,"Interborough Rapid Transit - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Elevated Division Continued - upper portion showing 8th Avenue Line concluded, 6th Avenue Line Gross Total, 6th Avenue Line Net, and 6th Avenue Line stations"
,,,,,,,,,,,155th Street,2211880,2163665,1861494,2660033,3049023,2804719,3409566,2661225,,2947863,,,,,6,"Interborough Rapid Transit - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Elevated Division Continued - upper portion showing 8th Avenue Line concluded, 6th Avenue Line Gross Total, 6th Avenue Line Net, and 6th Avenue Line stations"
,,,,,,,,,,,161st Street,3247686,3160584,2896735,3107783,3831655,2852634,3219193,3384860,3181760,2406289,,,,,6,"Interborough Rapid Transit - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Elevated Division Continued - upper portion showing 8th Avenue Line concluded, 6th Avenue Line Gross Total, 6th Avenue Line Net, and 6th Avenue Line stations"
,,,,,,,,,,,166th Street,2761669,2659099,2363208,3095271,3740238,2648858,3600154,1658958,1488605,1631840,,,,,6,"Interborough Rapid Transit - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Elevated Division Continued - upper portion showing 8th Avenue Line concluded, 6th Avenue Line Gross Total, 6th Avenue Line Net, and 6th Avenue Line stations"
,,,,,,,,,,,169th Street,3181660,3268780,3104763,1717810,3374140,3332318,3828654,3289698,3926543,2847953,,,,,6,"Interborough Rapid Transit - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Elevated Division Continued - upper portion showing 8th Avenue Line concluded, 6th Avenue Line Gross Total, 6th Avenue Line Net, and 6th Avenue Line stations"
,,,,,,,,,,,Claremont Parkway,2150300,2093041,1928079,2163627,3874145,3333318,2040763,2025670,2031671,1857859,,,,,6,"Interborough Rapid Transit - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Elevated Division Continued - upper portion showing 8th Avenue Line concluded, 6th Avenue Line Gross Total, 6th Avenue Line Net, and 6th Avenue Line stations"
,,,,,,,,,,,174th Street,4671890,4374123,4104763,3219882,2018095,2010048,3121141,9183965,2031671,831585,,,,,6,"Interborough Rapid Transit - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Elevated Division Continued - upper portion showing 8th Avenue Line concluded, 6th Avenue Line Gross Total, 6th Avenue Line Net, and 6th Avenue Line stations"
,,,,,,,,,,,177th Street,2757678,2652773,2435220,3015883,3537801,3051963,,,2037492,1979118,,,,,6,"Interborough Rapid Transit - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Elevated Division Continued - upper portion showing 8th Avenue Line concluded, 6th Avenue Line Gross Total, 6th Avenue Line Net, and 6th Avenue Line stations"
,,,,,,,,,,,180th Street,4077529,3922625,3606417,4087844,3629048,3427785,3447996,3255806,3506172,486227,,,,,6,"Interborough Rapid Transit - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Elevated Division Continued - upper portion showing 8th Avenue Line concluded, 6th Avenue Line Gross Total, 6th Avenue Line Net, and 6th Avenue Line stations"
,,,,,,,,,,,183d Street,3653629,3611413,3293671,921370,760124,676949,945580,838866,863758,411834,,,,,6,"Interborough Rapid Transit - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Elevated Division Continued - upper portion showing 8th Avenue Line concluded, 6th Avenue Line Gross Total, 6th Avenue Line Net, and 6th Avenue Line stations"
,,,,,,,,,,,Bronx Park,1095808,1043963,971887,3913783,1179819,812,303817,516540,498574,612174,,,,,6,"Interborough Rapid Transit - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Elevated Division Continued - upper portion showing 8th Avenue Line concluded, 6th Avenue Line Gross Total, 6th Avenue Line Net, and 6th Avenue Line stations"
,,,,,,,,,,,Bronx Park,890827,898194,887221,1134878,868022,828964,857795,471559,484868,435203,,,,,6,"Interborough Rapid Transit - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Elevated Division Continued - upper portion showing 8th Avenue Line concluded, 6th Avenue Line Gross Total, 6th Avenue Line Net, and 6th Avenue Line stations"
,,,,,,,,,,,200th Street,1005626,1020500,994843,689438,611242,484183,478071,862019,381597,223833,,,,,6,"Interborough Rapid Transit - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Elevated Division Continued - upper portion showing 8th Avenue Line concluded, 6th Avenue Line Gross Total, 6th Avenue Line Net, and 6th Avenue Line stations"
,,,,,,,,,,,204th Street,789165,749490,734418,2162779,83889,99350,3300384,2338237,3026067,3010498,,,,,6,"Interborough Rapid Transit - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Elevated Division Continued - upper portion showing 8th Avenue Line concluded, 6th Avenue Line Gross Total, 6th Avenue Line Net, and 6th Avenue Line stations"
,,,,,,,,,,,Williambridge-210th Street,85042,97931,92809,3426373,3120841,3140450,,,,,,,,,6,"Interborough Rapid Transit - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Elevated Division Continued - upper portion showing 8th Avenue Line concluded, 6th Avenue Line Gross Total, 6th Avenue Line Net, and 6th Avenue Line stations"
,,,,,,,,,,,Miscellaneous ticket sales,4699110,6430572,104012908,84994845,74396779,73844848,78241917,62979798,65907966,69306840,,,,,6,"Interborough Rapid Transit - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Elevated Division Continued - upper portion showing 8th Avenue Line concluded, 6th Avenue Line Gross Total, 6th Avenue Line Net, and 6th Avenue Line stations"
,,,,,,,,,,,8TH AVENUE LINE-GROSS TOTAL,188292322,178268348,104012908,84994845,74396779,73844848,78241917,62979798,65907966,69306840,,,,,6,"Interborough Rapid Transit - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Elevated Division Continued - upper portion showing 8th Avenue Line concluded, 6th Avenue Line Gross Total, 6th Avenue Line Net, and 6th Avenue Line stations"
,,,,,,,,,,,"CR. ADJUSTMENT ON JOINT TRAFFIC, LEX-INGTON AVE. LINE",7577322,9448165,8916843,8716691,6558373,6890359,5842079,5855114,6046588,4754007,,,,,6,"Interborough Rapid Transit - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Elevated Division Continued - upper portion showing 8th Avenue Line concluded, 6th Avenue Line Gross Total, 6th Avenue Line Net, and 6th Avenue Line stations"
,,,,,,,,,,,6TH AVENUE LINE-NET,118315066,106740180,86096260,70872858,65640806,67364837,69305988,63752213,60425888,64466833,,,,,6,"Interborough Rapid Transit - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Elevated Division Continued - upper portion showing 8th Avenue Line concluded, 6th Avenue Line Gross Total, 6th Avenue Line Net, and 6th Avenue Line stations"
,,,,,,,,,,,Rector Street,3448380,2017515,1705807,1403197,1692413,1717400,1754644,1787799,1761790,846910,,,,,6,"Interborough Rapid Transit - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Elevated Division Continued - upper portion showing 8th Avenue Line concluded, 6th Avenue Line Gross Total, 6th Avenue Line Net, and 6th Avenue Line stations"
